rank,title,url
1,,https://flixpatrol.com/title/squid-game/
2,Squid Game,https://flixpatrol.com/title/squid-game/
3,Missing You,https://flixpatrol.com/title/missing-you-2025/
4,American Primeval,https://flixpatrol.com/title/american-primeval/
5,The Breakthrough,https://flixpatrol.com/title/the-breakthrough-2025/
6,Fake Profile,https://flixpatrol.com/title/fake-profile/
7,Subteran,https://flixpatrol.com/title/subteran/
8,Dubai Bling,https://flixpatrol.com/title/dubai-bling/
9,"Jerry Springer: Fights, Camera, Action",https://flixpatrol.com/title/jerry-springer-fights-camera-action/
10,When the Stars Gossip,https://flixpatrol.com/title/when-the-stars-gossip/
11,Departure,https://flixpatrol.com/title/departure/
